2026-02-26T20:21:23.995Z [EVENT]  score: 43-42
2026-02-26T20:21:33.468Z [ODDS]  CHI Bulls (OCEAN): 5/7 → 20/21, MIA Heat (ARCHITECT): 1/1 → 20/27
2026-02-26T20:21:33.468Z [EVENT]  score: 43-44
2026-02-26T20:21:48.801Z [ODDS]  CHI Bulls (OCEAN): 20/21 → 20/27, MIA Heat (ARCHITECT): 20/27 → 20/21
2026-02-26T20:21:48.801Z [EVENT]  score: 43-46
2026-02-26T20:21:56.925Z [ODDS]  CHI Bulls (OCEAN): 20/27 → 5/6, MIA Heat (ARCHITECT): 20/21 → 5/6
2026-02-26T20:22:29.395Z [ODDS]  CHI Bulls (OCEAN): 5/6 → 20/23, MIA Heat (ARCHITECT): 5/6 → 4/5
2026-02-26T20:22:41.654Z [ODDS]  CHI Bulls (OCEAN): 20/23 → 21/20, MIA Heat (ARCHITECT): 4/5 → 20/29
2026-02-26T20:22:41.655Z [EVENT]  score: 46-46
2026-02-26T20:22:42.926Z [ODDS]  CHI Bulls (OCEAN): 21/20 → 1/1, MIA Heat (ARCHITECT): 20/29 → 5/7
2026-02-26T20:22:56.905Z [ODDS]  CHI Bulls (OCEAN): 1/1 → 20/31, MIA Heat (ARCHITECT): 5/7 → 28/25
2026-02-26T20:23:04.596Z [ODDS]  CHI Bulls (OCEAN): 20/31 → 5/6, MIA Heat (ARCHITECT): 28/25 → 5/6
2026-02-26T20:23:04.596Z [EVENT]  score: 49-46
2026-02-26T20:23:32.535Z [EVENT]  score: 49-48
2026-02-26T20:23:49.672Z [ODDS]  CHI Bulls (OCEAN): 5/6 → 20/29, MIA Heat (ARCHITECT): 5/6 → 21/20
2026-02-26T20:23:56.437Z [ODDS]  CHI Bulls (OCEAN): 20/29 → 5/6, MIA Heat (ARCHITECT): 21/20 → 5/6
2026-02-26T20:24:03.202Z [EVENT]  score: 51-48
2026-02-26T20:24:14.928Z [ODDS]  CHI Bulls (OCEAN): 5/6 → 4/5, MIA Heat (ARCHITECT): 5/6 → 20/23
2026-02-26T20:24:15.378Z [ODDS]  CHI Bulls (OCEAN): 4/5 → 5/6, MIA Heat (ARCHITECT): 20/23 → 5/6
2026-02-26T20:24:15.378Z [EVENT]  score: 51-50
2026-02-26T20:24:43.340Z [EVENT]  score: 52-50
2026-02-26T20:24:49.246Z [ODDS]  CHI Bulls (OCEAN): 5/6 → 4/5, MIA Heat (ARCHITECT): 5/6 → 20/23
2026-02-26T20:24:49.246Z [EVENT]  score: 53-50
2026-02-26T20:25:18.051Z [ODDS]  CHI Bulls (OCEAN): 4/5 → 5/6, MIA Heat (ARCHITECT): 20/23 → 5/6
2026-02-26T20:25:23.010Z [ODDS]  CHI Bulls (OCEAN): 5/6 → 4/5, MIA Heat (ARCHITECT): 5/6 → 20/23
2026-02-26T20:25:31.578Z [ODDS]  CHI Bulls (OCEAN): 4/5 → 5/6, MIA Heat (ARCHITECT): 20/23 → 5/6
2026-02-26T20:25:31.578Z [EVENT]  score: 53-52
2026-02-26T20:25:32.030Z [ODDS]  CHI Bulls (OCEAN): 5/6 → 4/6, MIA Heat (ARCHITECT): 5/6 → 11/10
2026-02-26T20:25:34.735Z [ODDS]  CHI Bulls (OCEAN): 4/6 → 20/23, MIA Heat (ARCHITECT): 11/10 → 4/5
2026-02-26T20:25:57.289Z [ODDS]  CHI Bulls (OCEAN): 20/23 → 4/5, MIA Heat (ARCHITECT): 4/5 → 20/23
2026-02-26T20:25:57.289Z [EVENT]  score: 56-52
2026-02-26T20:26:20.290Z [ODDS]  CHI Bulls (OCEAN): 4/5 → 5/6, MIA Heat (ARCHITECT): 20/23 → 5/6
2026-02-26T20:26:20.290Z [EVENT]  score: 56-54
2026-02-26T20:26:30.664Z [ODDS]  CHI Bulls (OCEAN): 5/6 → 4/5, MIA Heat (ARCHITECT): 5/6 → 20/23
2026-02-26T20:26:30.664Z [EVENT]  score: 58-54
2026-02-26T20:26:41.487Z [ODDS]  CHI Bulls (OCEAN): 4/5 → 5/6, MIA Heat (ARCHITECT): 20/23 → 5/6
2026-02-26T20:26:43.295Z [EVENT]  score: 58-56
2026-02-26T20:27:12.164Z [ODDS]  CHI Bulls (OCEAN): 5/6 → 20/23, MIA Heat (ARCHITECT): 5/6 → 4/5
2026-02-26T20:27:22.086Z [ODDS]  CHI Bulls (OCEAN): 20/23 → 4/6, MIA Heat (ARCHITECT): 4/5 → 11/10, CHI Bulls (OCEAN): 4/6 → 21/20, MIA Heat (ARCHITECT): 11/10 → 20/29
2026-02-26T20:27:22.086Z [EVENT]  score: 58-58
2026-02-26T20:27:22.086Z [ODDS]  CHI Bulls (OCEAN): 21/20 → 4/6, MIA Heat (ARCHITECT): 20/29 → 11/10, CHI Bulls (OCEAN): 4/6 → 21/20, MIA Heat (ARCHITECT): 11/10 → 20/29
2026-02-26T20:27:26.595Z [ODDS]  CHI Bulls (OCEAN): 21/20 → 4/6, MIA Heat (ARCHITECT): 20/29 → 11/10
2026-02-26T20:27:43.278Z [ODDS]  CHI Bulls (OCEAN): 4/6 → 20/31, MIA Heat (ARCHITECT): 11/10 → 28/25
2026-02-26T20:27:49.590Z [ODDS]  CHI Bulls (OCEAN): 20/31 → 20/23, MIA Heat (ARCHITECT): 28/25 → 4/5
2026-02-26T20:27:49.590Z [EVENT]  score: 61-58
2026-02-26T20:28:30.631Z [ODDS]  CHI Bulls (OCEAN): 20/23 → 0/0, MIA Heat (ARCHITECT): 4/5 → 0/0
2026-02-26T21:39:55.668Z [EVENT]  score: 3-0
2026-02-26T21:40:05.589Z [ODDS]  CHI Bulls (OCEAN): 5/6 → 20/27, MIA Heat (ARCHITECT): 5/6 → 20/21
2026-02-26T21:40:05.589Z [EVENT]  score: 3-2
2026-02-26T21:40:22.289Z [ODDS]  CHI Bulls (OCEAN): 20/27 → 5/6, MIA Heat (ARCHITECT): 20/21 → 5/6
2026-02-26T21:40:22.289Z [EVENT]  score: 5-2
