2026-02-26T20:23:19.905Z [EVENT]  score: 58-71
2026-02-26T20:23:28.028Z [ODDS]  Sindri: 4/5 → 5/6, Fylkir: 20/23 → 5/6
2026-02-26T20:23:32.991Z [ODDS]  Sindri: 5/6 → 20/23, Fylkir: 5/6 → 4/5
2026-02-26T20:23:37.047Z [ODDS]  Sindri: 20/23 → 4/5, Fylkir: 4/5 → 20/23
2026-02-26T20:23:57.789Z [ODDS]  Sindri: 4/5 → 5/6, Fylkir: 20/23 → 5/6
2026-02-26T20:23:57.789Z [EVENT]  score: 59-71
2026-02-26T20:24:10.419Z [EVENT]  score: 60-71
2026-02-26T20:24:27.555Z [ODDS]  Sindri: 5/6 → 20/23, Fylkir: 5/6 → 4/5
2026-02-26T20:24:27.555Z [EVENT]  score: 60-73
2026-02-26T20:24:39.736Z [EVENT]  score: 62-73
2026-02-26T20:24:55.518Z [ODDS]  Sindri: 20/23 → 4/5, Fylkir: 4/5 → 20/23
2026-02-26T20:24:55.518Z [EVENT]  score: 62-76
2026-02-26T20:25:24.921Z [ODDS]  Sindri: 4/5 → 5/6, Fylkir: 20/23 → 5/6
2026-02-26T20:25:24.921Z [EVENT]  score: 62-78
2026-02-26T20:26:55.472Z [ODDS]  Sindri: 5/6 → 4/5, Fylkir: 5/6 → 20/23
2026-02-26T20:26:55.472Z [EVENT]  score: 65-78
2026-02-26T20:27:04.038Z [ODDS]  Sindri: 4/5 → 5/6, Fylkir: 20/23 → 5/6
2026-02-26T20:27:33.353Z [EVENT]  score: 67-78
2026-02-26T20:27:53.197Z [EVENT]  score: 67-81
2026-02-26T20:28:12.589Z [ODDS]  Sindri: 5/6 → 20/23, Fylkir: 5/6 → 4/5
2026-02-26T20:28:23.873Z [ODDS]  Sindri: 20/23 → 5/6, Fylkir: 4/5 → 5/6
2026-02-26T20:28:23.873Z [EVENT]  score: 69-81
2026-02-26T20:28:33.341Z [ODDS]  Sindri: 5/6 → 20/23, Fylkir: 5/6 → 4/5
2026-02-26T20:28:37.856Z [ODDS]  Sindri: 20/23 → 4/5, Fylkir: 4/5 → 20/23
2026-02-26T20:30:50.893Z [ODDS]  Sindri: 4/5 → 5/6, Fylkir: 20/23 → 5/6
2026-02-26T20:31:40.514Z [ODDS]  Sindri: 5/6 → 4/5, Fylkir: 5/6 → 20/23
2026-02-26T20:31:47.271Z [ODDS]  Sindri: 4/5 → 20/23, Fylkir: 20/23 → 4/5
2026-02-26T20:31:56.743Z [ODDS]  Sindri: 20/23 → 4/5, Fylkir: 4/5 → 20/23
2026-02-26T20:32:08.469Z [ODDS]  Sindri: 4/5 → 5/6, Fylkir: 20/23 → 5/6
2026-02-26T20:32:09.827Z [ODDS]  Sindri: 5/6 → 4/5, Fylkir: 5/6 → 20/23
2026-02-26T20:32:33.275Z [ODDS]  Sindri: 4/5 → 20/23, Fylkir: 20/23 → 4/5
2026-02-26T20:32:33.275Z [EVENT]  score: 69-82
2026-02-26T20:32:39.135Z [EVENT]  score: 69-83
2026-02-26T20:32:45.903Z [ODDS]  Sindri: 20/23 → 5/6, Fylkir: 4/5 → 5/6
2026-02-26T20:32:54.922Z [EVENT]  score: 72-83
2026-02-26T20:33:15.218Z [ODDS]  Sindri: 5/6 → 20/23, Fylkir: 5/6 → 4/5
2026-02-26T20:33:21.985Z [ODDS]  Sindri: 20/23 → 5/6, Fylkir: 4/5 → 5/6
2026-02-26T20:33:21.985Z [EVENT]  score: 72-85
2026-02-26T20:33:37.317Z [ODDS]  Sindri: 5/6 → 4/5, Fylkir: 5/6 → 20/23
2026-02-26T20:33:50.847Z [ODDS]  Sindri: 4/5 → 20/23, Fylkir: 20/23 → 4/5
2026-02-26T20:35:21.506Z [ODDS]  Sindri: 20/23 → 4/5, Fylkir: 4/5 → 20/23
2026-02-26T20:35:27.813Z [ODDS]  Sindri: 4/5 → 5/6, Fylkir: 20/23 → 5/6
2026-02-26T20:35:41.343Z [EVENT]  score: 72-86
2026-02-26T20:35:48.112Z [ODDS]  Sindri: 5/6 → 4/5, Fylkir: 5/6 → 20/23
2026-02-26T20:35:48.112Z [EVENT]  score: 72-87
2026-02-26T20:36:04.343Z [ODDS]  Sindri: 4/5 → 5/6, Fylkir: 20/23 → 5/6
2026-02-26T20:36:13.364Z [EVENT]  score: 72-90
2026-02-26T20:36:21.943Z [ODDS]  Sindri: 5/6 → 20/23, Fylkir: 5/6 → 4/5
2026-02-26T20:36:35.462Z [ODDS]  Sindri: 20/23 → 5/6, Fylkir: 4/5 → 5/6
2026-02-26T20:36:35.462Z [EVENT]  score: 75-90
2026-02-26T20:36:59.365Z [ODDS]  Sindri: 5/6 → 20/23, Fylkir: 5/6 → 4/5
2026-02-26T20:37:22.821Z [ODDS]  Sindri: 20/23 → 20/27, Fylkir: 4/5 → 20/21
2026-02-26T20:37:56.646Z [ODDS]  Sindri: 20/27 → 4/5, Fylkir: 20/21 → 20/23
2026-02-26T20:39:17.072Z [ODDS]  Sindri: 4/5 → 5/6, Fylkir: 20/23 → 5/6
2026-02-26T20:39:59.464Z [ODDS]  Sindri: 5/6 → 20/23, Fylkir: 5/6 → 4/5
2026-02-26T20:40:08.937Z [ODDS]  Sindri: 20/23 → 5/6, Fylkir: 4/5 → 5/6
2026-02-26T20:40:08.937Z [EVENT]  score: 77-90
2026-02-26T20:40:17.505Z [ODDS]  Sindri: 5/6 → 20/23, Fylkir: 5/6 → 4/5
2026-02-26T20:40:17.956Z [EVENT]  score: 77-92
2026-02-26T20:40:27.877Z [ODDS]  Sindri: 20/23 → 20/21, Fylkir: 4/5 → 20/27
2026-02-26T20:40:28.793Z [ODDS]  Sindri: 20/21 → 20/23, Fylkir: 20/27 → 4/5
2026-02-26T20:40:28.793Z [EVENT]  score: 79-92
2026-02-26T20:40:37.808Z [ODDS]  Sindri: 20/23 → 20/21, Fylkir: 4/5 → 20/27
2026-02-26T20:40:43.663Z [ODDS]  Sindri: 20/21 → 20/27, Fylkir: 20/27 → 20/21
2026-02-26T20:40:48.624Z [ODDS]  Sindri: 20/27 → 20/23, Fylkir: 20/21 → 4/5
2026-02-26T20:40:48.624Z [EVENT]  score: 81-92
