2026-02-26T20:54:16.066Z [ODDS]  MIL Bucks (Dzmn): 20/23 → 20/21, MIA Heat (Pakapaka): 4/5 → 20/27
2026-02-26T20:54:30.483Z [ODDS]  MIL Bucks (Dzmn): 20/21 → 20/23, MIA Heat (Pakapaka): 20/27 → 4/5
2026-02-26T20:54:35.444Z [ODDS]  MIL Bucks (Dzmn): 20/23 → 20/21, MIA Heat (Pakapaka): 4/5 → 20/27
2026-02-26T20:54:38.600Z [ODDS]  MIL Bucks (Dzmn): 20/21 → 5/6, MIA Heat (Pakapaka): 20/27 → 5/6
2026-02-26T20:54:38.600Z [EVENT]  score: 44-47
2026-02-26T20:54:39.052Z [ODDS]  MIL Bucks (Dzmn): 5/6 → 4/5, MIA Heat (Pakapaka): 5/6 → 20/23
2026-02-26T20:54:55.294Z [ODDS]  MIL Bucks (Dzmn): 4/5 → 5/6, MIA Heat (Pakapaka): 20/23 → 5/6
2026-02-26T20:55:03.414Z [ODDS]  MIL Bucks (Dzmn): 5/6 → 20/21, MIA Heat (Pakapaka): 5/6 → 20/27
2026-02-26T20:55:03.414Z [EVENT]  score: 46-47
2026-02-26T20:55:11.530Z [ODDS]  MIL Bucks (Dzmn): 20/21 → 4/5, MIA Heat (Pakapaka): 20/27 → 20/23
2026-02-26T20:55:11.530Z [EVENT]  score: 47-47
2026-02-26T20:55:22.815Z [ODDS]  MIL Bucks (Dzmn): 4/5 → 5/6, MIA Heat (Pakapaka): 20/23 → 5/6
2026-02-26T20:55:22.815Z [EVENT]  score: 47-49
2026-02-26T20:55:37.239Z [ODDS]  MIL Bucks (Dzmn): 5/6 → 20/23, MIA Heat (Pakapaka): 5/6 → 4/5
2026-02-26T20:55:39.947Z [ODDS]  MIL Bucks (Dzmn): 20/23 → 20/21, MIA Heat (Pakapaka): 4/5 → 20/27
2026-02-26T20:55:39.947Z [EVENT]  score: 47-51
2026-02-26T20:55:53.025Z [ODDS]  MIL Bucks (Dzmn): 20/21 → 5/7, MIA Heat (Pakapaka): 20/27 → 1/1
2026-02-26T20:56:02.950Z [ODDS]  MIL Bucks (Dzmn): 5/7 → 1/1, MIA Heat (Pakapaka): 1/1 → 5/7
2026-02-26T20:56:12.870Z [ODDS]  MIL Bucks (Dzmn): 1/1 → 5/6, MIA Heat (Pakapaka): 5/7 → 5/6
2026-02-26T20:56:12.870Z [EVENT]  score: 50-51
2026-02-26T20:56:13.321Z [ODDS]  MIL Bucks (Dzmn): 5/6 → 20/23, MIA Heat (Pakapaka): 5/6 → 4/5
2026-02-26T20:56:45.343Z [ODDS]  MIL Bucks (Dzmn): 20/23 → 4/7, MIA Heat (Pakapaka): 4/5 → 5/4
2026-02-26T20:56:45.343Z [EVENT]  score: 52-51
2026-02-26T20:56:57.522Z [ODDS]  MIL Bucks (Dzmn): 4/7 → 10/17, MIA Heat (Pakapaka): 5/4 → 61/50
2026-02-26T20:56:59.775Z [ODDS]  MIL Bucks (Dzmn): 10/17 → 5/6, MIA Heat (Pakapaka): 61/50 → 5/6
2026-02-26T20:57:16.011Z [ODDS]  MIL Bucks (Dzmn): 5/6 → 20/23, MIA Heat (Pakapaka): 5/6 → 4/5
2026-02-26T20:57:23.677Z [ODDS]  MIL Bucks (Dzmn): 20/23 → 5/6, MIA Heat (Pakapaka): 4/5 → 5/6
2026-02-26T20:57:23.677Z [EVENT]  score: 54-51
2026-02-26T20:57:38.565Z [ODDS]  MIL Bucks (Dzmn): 5/6 → 21/20, MIA Heat (Pakapaka): 5/6 → 20/29
2026-02-26T20:57:47.132Z [ODDS]  MIL Bucks (Dzmn): 21/20 → 20/27, MIA Heat (Pakapaka): 20/29 → 20/21
2026-02-26T20:57:47.132Z [EVENT]  score: 55-51
2026-02-26T20:57:51.639Z [ODDS]  MIL Bucks (Dzmn): 20/27 → 5/6, MIA Heat (Pakapaka): 20/21 → 5/6
2026-02-26T20:57:51.639Z [EVENT]  score: 56-51
2026-02-26T20:58:21.407Z [ODDS]  MIL Bucks (Dzmn): 5/6 → 20/23, MIA Heat (Pakapaka): 5/6 → 4/5, MIL Bucks (Dzmn): 20/23 → 5/6, MIA Heat (Pakapaka): 4/5 → 5/6
2026-02-26T20:58:21.407Z [EVENT]  score: 56-53
2026-02-26T20:58:21.407Z [ODDS]  MIL Bucks (Dzmn): 5/6 → 20/23, MIA Heat (Pakapaka): 5/6 → 4/5, MIL Bucks (Dzmn): 20/23 → 5/6, MIA Heat (Pakapaka): 4/5 → 5/6
2026-02-26T20:58:29.074Z [ODDS]  MIL Bucks (Dzmn): 5/6 → 4/6, MIA Heat (Pakapaka): 5/6 → 11/10
2026-02-26T20:58:33.133Z [ODDS]  MIL Bucks (Dzmn): 4/6 → 20/27, MIA Heat (Pakapaka): 11/10 → 20/21
2026-02-26T20:58:33.133Z [EVENT]  score: 57-53
2026-02-26T20:58:38.098Z [ODDS]  MIL Bucks (Dzmn): 20/27 → 5/6, MIA Heat (Pakapaka): 20/21 → 5/6
2026-02-26T20:58:38.098Z [EVENT]  score: 58-53
2026-02-26T20:58:47.115Z [ODDS]  MIL Bucks (Dzmn): 5/6 → 0/0, MIA Heat (Pakapaka): 5/6 → 0/0
