2026-02-27T03:26:25.622Z [ODDS]  NY Knicks (BLADE): 20/27 → 4/5, OKC Thunder (STING): 20/21 → 20/23
2026-02-27T03:26:25.622Z [EVENT]  score: 45-34
2026-02-27T03:26:36.932Z [ODDS]  NY Knicks (BLADE): 4/5 → 20/27, OKC Thunder (STING): 20/23 → 20/21
2026-02-27T03:27:01.253Z [EVENT]  score: 45-37
2026-02-27T03:27:32.370Z [ODDS]  NY Knicks (BLADE): 20/27 → 4/5, OKC Thunder (STING): 20/21 → 20/23
2026-02-27T03:27:32.370Z [EVENT]  score: 45-39
2026-02-27T03:27:55.854Z [ODDS]  NY Knicks (BLADE): 4/5 → 5/6, OKC Thunder (STING): 20/23 → 5/6
2026-02-27T03:28:03.943Z [ODDS]  NY Knicks (BLADE): 5/6 → 4/5, OKC Thunder (STING): 5/6 → 20/23
2026-02-27T03:28:29.782Z [ODDS]  NY Knicks (BLADE): 4/5 → 5/6, OKC Thunder (STING): 20/23 → 5/6
2026-02-27T03:29:00.451Z [ODDS]  NY Knicks (BLADE): 5/6 → 20/23, OKC Thunder (STING): 5/6 → 4/5
2026-02-27T03:29:16.687Z [ODDS]  NY Knicks (BLADE): 20/23 → 5/6, OKC Thunder (STING): 4/5 → 5/6
2026-02-27T03:29:16.687Z [EVENT]  score: 47-39
2026-02-27T03:29:18.943Z [ODDS]  NY Knicks (BLADE): 5/6 → 20/23, OKC Thunder (STING): 5/6 → 4/5
2026-02-27T03:29:19.395Z [ODDS]  NY Knicks (BLADE): 20/23 → 5/6, OKC Thunder (STING): 4/5 → 5/6
2026-02-27T03:29:27.964Z [ODDS]  NY Knicks (BLADE): 5/6 → 20/23, OKC Thunder (STING): 5/6 → 4/5
2026-02-27T03:29:41.494Z [ODDS]  NY Knicks (BLADE): 20/23 → 20/21, OKC Thunder (STING): 4/5 → 20/27
2026-02-27T03:29:56.375Z [ODDS]  NY Knicks (BLADE): 20/21 → 1/1, OKC Thunder (STING): 20/27 → 5/7
2026-02-27T03:30:05.846Z [ODDS]  NY Knicks (BLADE): 1/1 → 21/20, OKC Thunder (STING): 5/7 → 20/29
2026-02-27T03:30:13.965Z [ODDS]  NY Knicks (BLADE): 21/20 → 20/29, OKC Thunder (STING): 20/29 → 21/20
2026-02-27T03:30:15.769Z [ODDS]  NY Knicks (BLADE): 20/29 → 5/7, OKC Thunder (STING): 21/20 → 1/1
2026-02-27T03:30:16.670Z [ODDS]  NY Knicks (BLADE): 5/7 → 20/29, OKC Thunder (STING): 1/1 → 21/20
2026-02-27T03:30:16.670Z [EVENT]  score: 49-39
2026-02-27T03:30:25.241Z [ODDS]  NY Knicks (BLADE): 20/29 → 5/7, OKC Thunder (STING): 21/20 → 1/1
2026-02-27T03:30:36.967Z [ODDS]  NY Knicks (BLADE): 5/7 → 20/27, OKC Thunder (STING): 1/1 → 20/21
2026-02-27T03:30:42.833Z [EVENT]  score: 49-41
2026-02-27T03:31:01.322Z [ODDS]  NY Knicks (BLADE): 20/27 → 4/5, OKC Thunder (STING): 20/21 → 20/23
2026-02-27T03:31:08.988Z [EVENT]  score: 51-41
2026-02-27T03:31:18.009Z [ODDS]  NY Knicks (BLADE): 4/5 → 5/6, OKC Thunder (STING): 20/23 → 5/6
2026-02-27T03:31:26.128Z [ODDS]  NY Knicks (BLADE): 5/6 → 0/0, OKC Thunder (STING): 5/6 → 0/0
