2026-02-26T20:23:14.944Z [EVENT]  score: 38-44
2026-02-26T20:23:43.358Z [ODDS]  Paris: 20/23 → 5/6, Panathinaikos: 20/23 → 10/11
2026-02-26T20:23:52.397Z [ODDS]  Paris: 5/6 → 10/11, Panathinaikos: 10/11 → 5/6
2026-02-26T20:23:53.730Z [ODDS]  Paris: 10/11 → 20/23, Panathinaikos: 5/6 → 20/23
2026-02-26T20:24:30.272Z [ODDS]  Paris: 20/23 → 5/6, Panathinaikos: 20/23 → 10/11
2026-02-26T20:24:30.272Z [EVENT]  score: 38-45
2026-02-26T20:24:44.246Z [EVENT]  score: 38-46
2026-02-26T20:25:03.175Z [ODDS]  Paris: 5/6 → 10/11, Panathinaikos: 10/11 → 5/6
2026-02-26T20:25:04.076Z [ODDS]  Paris: 10/11 → 20/23, Panathinaikos: 5/6 → 20/23
2026-02-26T20:25:15.356Z [ODDS]  Paris: 20/23 → 10/11, Panathinaikos: 20/23 → 5/6
2026-02-26T20:25:32.030Z [ODDS]  Paris: 10/11 → 20/23, Panathinaikos: 5/6 → 20/23
2026-02-26T20:25:47.369Z [EVENT]  score: 39-46
2026-02-26T20:26:04.050Z [ODDS]  Paris: 20/23 → 10/11, Panathinaikos: 20/23 → 5/6
2026-02-26T20:26:27.957Z [ODDS]  Paris: 10/11 → 20/23, Panathinaikos: 5/6 → 20/23
2026-02-26T20:26:27.958Z [EVENT]  score: 41-46
2026-02-26T20:26:50.960Z [ODDS]  Paris: 20/23 → 5/6, Panathinaikos: 20/23 → 10/11
2026-02-26T20:26:50.960Z [EVENT]  score: 41-49
2026-02-26T20:26:55.029Z [ODDS]  Paris: 5/6 → 10/11, Panathinaikos: 10/11 → 5/6
2026-02-26T20:27:02.234Z [ODDS]  Paris: 10/11 → 20/23, Panathinaikos: 5/6 → 20/23
2026-02-26T20:27:26.137Z [ODDS]  Paris: 20/23 → 5/6, Panathinaikos: 20/23 → 10/11
2026-02-26T20:28:00.863Z [ODDS]  Paris: 5/6 → 20/23, Panathinaikos: 10/11 → 20/23
2026-02-26T20:28:00.863Z [EVENT]  score: 42-49
2026-02-26T20:28:18.009Z [EVENT]  score: 43-49
2026-02-26T20:28:34.238Z [EVENT]  score: 43-51
2026-02-26T20:28:57.694Z [ODDS]  Paris: 20/23 → 10/11, Panathinaikos: 20/23 → 5/6
2026-02-26T20:28:59.497Z [ODDS]  Paris: 10/11 → 20/23, Panathinaikos: 5/6 → 20/23
2026-02-26T20:29:06.261Z [ODDS]  Paris: 20/23 → 5/6, Panathinaikos: 20/23 → 10/11
2026-02-26T20:29:18.437Z [ODDS]  Paris: 5/6 → 20/23, Panathinaikos: 10/11 → 20/23
2026-02-26T20:29:22.495Z [ODDS]  Paris: 20/23 → 5/6, Panathinaikos: 20/23 → 10/11
2026-02-26T20:29:55.871Z [ODDS]  Paris: 5/6 → 20/23, Panathinaikos: 10/11 → 20/23
2026-02-26T20:29:55.871Z [EVENT]  score: 44-51
2026-02-26T20:31:03.070Z [EVENT]  score: 45-51
2026-02-26T20:31:18.412Z [ODDS]  Paris: 20/23 → 10/11, Panathinaikos: 20/23 → 5/6
2026-02-26T20:31:35.097Z [ODDS]  Paris: 10/11 → 20/23, Panathinaikos: 5/6 → 20/23
2026-02-26T20:31:38.701Z [ODDS]  Paris: 20/23 → 10/11, Panathinaikos: 20/23 → 5/6
2026-02-26T20:31:38.701Z [EVENT]  score: 45-53
2026-02-26T20:31:41.435Z [ODDS]  Paris: 10/11 → 20/23, Panathinaikos: 5/6 → 20/23
2026-02-26T20:33:54.005Z [ODDS]  Paris: 20/23 → 10/11, Panathinaikos: 20/23 → 5/6
2026-02-26T20:34:06.634Z [ODDS]  Paris: 10/11 → 20/23, Panathinaikos: 5/6 → 20/23
2026-02-26T20:34:14.360Z [ODDS]  Paris: 20/23 → 4/5, Panathinaikos: 20/23 → 20/21
2026-02-26T20:34:47.222Z [ODDS]  Paris: 4/5 → 10/13, Panathinaikos: 20/21 → 1/1
2026-02-26T20:34:47.222Z [EVENT]  score: 45-54
2026-02-26T20:34:59.399Z [EVENT]  score: 45-55
2026-02-26T20:35:04.412Z [ODDS]  Paris: 10/13 → 20/27, Panathinaikos: 1/1 → 21/20
2026-02-26T20:35:18.805Z [ODDS]  Paris: 20/27 → 21/20, Panathinaikos: 21/20 → 20/27
2026-02-26T20:35:21.951Z [ODDS]  Paris: 21/20 → 10/11, Panathinaikos: 20/27 → 5/6
2026-02-26T20:35:23.302Z [ODDS]  Paris: 10/11 → 21/20, Panathinaikos: 5/6 → 20/27
2026-02-26T20:35:27.813Z [ODDS]  Paris: 21/20 → 1/1, Panathinaikos: 20/27 → 10/13
2026-02-26T20:35:31.421Z [ODDS]  Paris: 1/1 → 10/11, Panathinaikos: 10/13 → 5/6
2026-02-26T20:37:41.759Z [ODDS]  Paris: 10/11 → 20/23, Panathinaikos: 5/6 → 20/23
2026-02-26T20:37:41.759Z [EVENT]  score: 45-58
2026-02-26T20:38:13.477Z [ODDS]  Paris: 20/23 → 10/11, Panathinaikos: 20/23 → 5/6
2026-02-26T20:53:28.697Z [ODDS]  Paris: 10/11 → 20/21, Panathinaikos: 5/6 → 4/5
2026-02-26T20:53:48.540Z [ODDS]  Paris: 20/21 → 20/23, Panathinaikos: 4/5 → 20/23
2026-02-26T20:54:05.695Z [EVENT]  score: 46-58
2026-02-26T20:54:26.878Z [ODDS]  Paris: 20/23 → 10/11, Panathinaikos: 20/23 → 5/6
2026-02-26T20:54:57.099Z [ODDS]  Paris: 10/11 → 5/6, Panathinaikos: 5/6 → 10/11
2026-02-26T20:54:57.099Z [EVENT]  score: 48-58
2026-02-26T20:55:11.530Z [ODDS]  Paris: 5/6 → 4/5, Panathinaikos: 10/11 → 20/21
2026-02-26T20:55:16.501Z [ODDS]  Paris: 4/5 → 20/23, Panathinaikos: 20/21 → 20/23
2026-02-26T20:55:35.011Z [EVENT]  score: 50-58
2026-02-26T20:55:52.576Z [ODDS]  Paris: 20/23 → 5/6, Panathinaikos: 20/23 → 10/11
2026-02-26T20:55:53.025Z [ODDS]  Paris: 5/6 → 1/1, Panathinaikos: 10/11 → 10/13
2026-02-26T20:55:53.025Z [EVENT]  score: 50-61
2026-02-26T20:56:13.776Z [ODDS]  Paris: 1/1 → 20/23, Panathinaikos: 10/13 → 20/23
2026-02-26T20:56:20.537Z [ODDS]  Paris: 20/23 → 1/1, Panathinaikos: 20/23 → 10/13
2026-02-26T20:56:24.148Z [ODDS]  Paris: 1/1 → 5/6, Panathinaikos: 10/13 → 10/11
2026-02-26T20:56:24.149Z [EVENT]  score: 52-61
2026-02-26T20:56:29.556Z [ODDS]  Paris: 5/6 → 4/5, Panathinaikos: 10/11 → 20/21
2026-02-26T20:57:10.599Z [ODDS]  Paris: 4/5 → 20/23, Panathinaikos: 20/21 → 20/23
2026-02-26T20:57:10.599Z [EVENT]  score: 52-64
2026-02-26T20:57:21.424Z [ODDS]  Paris: 20/23 → 5/6, Panathinaikos: 20/23 → 10/11
2026-02-26T20:57:27.737Z [ODDS]  Paris: 5/6 → 10/13, Panathinaikos: 10/11 → 1/1
2026-02-26T20:57:27.737Z [EVENT]  score: 55-64
2026-02-26T20:57:43.070Z [ODDS]  Paris: 10/13 → 21/20, Panathinaikos: 1/1 → 20/27
2026-02-26T20:58:10.130Z [ODDS]  Paris: 21/20 → 1/1, Panathinaikos: 20/27 → 10/13
2026-02-26T20:58:15.993Z [ODDS]  Paris: 1/1 → 10/11, Panathinaikos: 10/13 → 5/6
2026-02-26T20:58:55.234Z [ODDS]  Paris: 10/11 → 5/6, Panathinaikos: 5/6 → 10/11
2026-02-26T20:58:55.234Z [EVENT]  score: 55-67
2026-02-26T20:59:07.420Z [ODDS]  Paris: 5/6 → 10/11, Panathinaikos: 10/11 → 5/6
2026-02-26T20:59:18.703Z [ODDS]  Paris: 10/11 → 20/23, Panathinaikos: 5/6 → 20/23
2026-02-26T20:59:18.703Z [EVENT]  score: 58-67
2026-02-26T20:59:29.088Z [ODDS]  Paris: 20/23 → 10/13, Panathinaikos: 20/23 → 1/1
2026-02-26T21:00:09.198Z [ODDS]  Paris: 10/13 → 20/27, Panathinaikos: 1/1 → 21/20
