2026-02-27T01:18:12.756Z [ODDS]  Rocamora (W): 4/5 → 20/23, Union Florida (W): 20/23 → 4/5
2026-02-27T01:18:12.756Z [EVENT]  score: 43-42
2026-02-27T01:18:16.816Z [ODDS]  Rocamora (W): 20/23 → 5/6, Union Florida (W): 4/5 → 5/6
2026-02-27T01:18:42.522Z [ODDS]  Rocamora (W): 5/6 → 4/5, Union Florida (W): 5/6 → 20/23
2026-02-27T01:20:47.455Z [ODDS]  Rocamora (W): 4/5 → 5/6, Union Florida (W): 20/23 → 5/6
2026-02-27T01:22:57.337Z [ODDS]  Rocamora (W): 5/6 → 20/23, Union Florida (W): 5/6 → 4/5
2026-02-27T01:22:57.337Z [EVENT]  score: 45-42
2026-02-27T01:23:22.594Z [ODDS]  Rocamora (W): 20/23 → 5/6, Union Florida (W): 4/5 → 5/6
2026-02-27T01:23:36.577Z [ODDS]  Rocamora (W): 5/6 → 20/23, Union Florida (W): 5/6 → 4/5
2026-02-27T01:24:03.635Z [ODDS]  Rocamora (W): 20/23 → 5/6, Union Florida (W): 4/5 → 5/6
2026-02-27T01:24:07.244Z [ODDS]  Rocamora (W): 5/6 → 20/23, Union Florida (W): 5/6 → 4/5
2026-02-27T01:44:41.894Z [ODDS]  Rocamora (W): 20/23 → 5/6, Union Florida (W): 4/5 → 5/6
2026-02-27T01:44:41.894Z [EVENT]  score: 48-42
2026-02-27T01:45:29.249Z [ODDS]  Rocamora (W): 5/6 → 4/5, Union Florida (W): 5/6 → 20/23
2026-02-27T01:45:29.250Z [EVENT]  score: 48-43
2026-02-27T01:45:40.075Z [ODDS]  Rocamora (W): 4/5 → 20/23, Union Florida (W): 20/23 → 4/5
2026-02-27T01:45:40.075Z [EVENT]  score: 48-44
2026-02-27T01:45:58.565Z [ODDS]  Rocamora (W): 20/23 → 5/6, Union Florida (W): 4/5 → 5/6
2026-02-27T01:46:08.486Z [ODDS]  Rocamora (W): 5/6 → 4/5, Union Florida (W): 5/6 → 20/23
2026-02-27T01:46:13.007Z [ODDS]  Rocamora (W): 4/5 → 20/23, Union Florida (W): 20/23 → 4/5
2026-02-27T01:46:49.989Z [ODDS]  Rocamora (W): 20/23 → 5/6, Union Florida (W): 4/5 → 5/6
2026-02-27T01:47:46.814Z [ODDS]  Rocamora (W): 5/6 → 4/5, Union Florida (W): 5/6 → 20/23
2026-02-27T01:48:13.875Z [ODDS]  Rocamora (W): 4/5 → 5/6, Union Florida (W): 20/23 → 5/6
2026-02-27T01:48:32.818Z [ODDS]  Rocamora (W): 5/6 → 4/5, Union Florida (W): 5/6 → 20/23
