2026-02-26T23:25:19.613Z [ODDS]  DAL Mavericks (LEGACY): 5/7 → 1/1, CHA Hornets (BLIZZARD): 1/1 → 5/7, DAL Mavericks (LEGACY): 1/1 → 5/7, CHA Hornets (BLIZZARD): 5/7 → 1/1
2026-02-26T23:25:22.771Z [ODDS]  DAL Mavericks (LEGACY): 5/7 → 1/1, CHA Hornets (BLIZZARD): 1/1 → 5/7
2026-02-26T23:25:57.499Z [ODDS]  DAL Mavericks (LEGACY): 1/1 → 20/27, CHA Hornets (BLIZZARD): 5/7 → 20/21
2026-02-26T23:25:57.499Z [EVENT]  score: 46-44
2026-02-26T23:26:38.087Z [ODDS]  DAL Mavericks (LEGACY): 20/27 → 4/5, CHA Hornets (BLIZZARD): 20/21 → 20/23
2026-02-26T23:26:38.087Z [EVENT]  score: 46-46
2026-02-26T23:26:40.793Z [ODDS]  DAL Mavericks (LEGACY): 4/5 → 61/50, CHA Hornets (BLIZZARD): 20/23 → 10/17, DAL Mavericks (LEGACY): 61/50 → 20/33, CHA Hornets (BLIZZARD): 10/17 → 6/5
2026-02-26T23:26:40.793Z [ODDS]  DAL Mavericks (LEGACY): 20/33 → 61/50, CHA Hornets (BLIZZARD): 6/5 → 10/17, DAL Mavericks (LEGACY): 61/50 → 20/33, CHA Hornets (BLIZZARD): 10/17 → 6/5
2026-02-26T23:26:48.913Z [ODDS]  DAL Mavericks (LEGACY): 20/33 → 61/50, CHA Hornets (BLIZZARD): 6/5 → 10/17
2026-02-26T23:26:48.913Z [EVENT]  score: 46-47
2026-02-26T23:26:56.580Z [ODDS]  DAL Mavericks (LEGACY): 61/50 → 5/6, CHA Hornets (BLIZZARD): 10/17 → 5/6
2026-02-26T23:27:07.853Z [ODDS]  DAL Mavericks (LEGACY): 5/6 → 20/23, CHA Hornets (BLIZZARD): 5/6 → 4/5
2026-02-26T23:27:07.853Z [EVENT]  score: 46-49
2026-02-26T23:27:15.522Z [ODDS]  DAL Mavericks (LEGACY): 20/23 → 5/6, CHA Hornets (BLIZZARD): 4/5 → 5/6
2026-02-26T23:27:15.975Z [EVENT]  score: 48-49
2026-02-26T23:27:27.699Z [ODDS]  DAL Mavericks (LEGACY): 5/6 → 61/50, CHA Hornets (BLIZZARD): 5/6 → 10/17
2026-02-26T23:27:36.716Z [ODDS]  DAL Mavericks (LEGACY): 61/50 → 4/5, CHA Hornets (BLIZZARD): 10/17 → 20/23
2026-02-26T23:27:52.955Z [ODDS]  DAL Mavericks (LEGACY): 4/5 → 20/27, CHA Hornets (BLIZZARD): 20/23 → 20/21
2026-02-26T23:28:00.627Z [ODDS]  DAL Mavericks (LEGACY): 20/27 → 4/5, CHA Hornets (BLIZZARD): 20/21 → 20/23
2026-02-26T23:28:00.627Z [EVENT]  score: 48-51
2026-02-26T23:28:08.287Z [ODDS]  DAL Mavericks (LEGACY): 4/5 → 0/0, CHA Hornets (BLIZZARD): 20/23 → 0/0
