2026-02-26T20:52:41.794Z [ODDS]  AO Thrakomakedonon: 5/6 → 20/23, AO Kronos Geraka: 5/6 → 4/5
2026-02-26T20:52:41.794Z [EVENT]  score: 53-54
2026-02-26T20:52:44.047Z [ODDS]  AO Thrakomakedonon: 20/23 → 5/6, AO Kronos Geraka: 4/5 → 5/6
2026-02-26T20:56:16.483Z [ODDS]  AO Thrakomakedonon: 5/6 → 4/5, AO Kronos Geraka: 5/6 → 20/23
2026-02-26T20:56:22.792Z [ODDS]  AO Thrakomakedonon: 4/5 → 5/6, AO Kronos Geraka: 20/23 → 5/6
2026-02-26T20:56:41.733Z [ODDS]  AO Thrakomakedonon: 5/6 → 4/5, AO Kronos Geraka: 5/6 → 20/23
2026-02-26T20:56:54.823Z [ODDS]  AO Thrakomakedonon: 4/5 → 20/23, AO Kronos Geraka: 20/23 → 4/5
2026-02-26T20:57:13.757Z [ODDS]  AO Thrakomakedonon: 20/23 → 4/5, AO Kronos Geraka: 4/5 → 20/23
2026-02-26T20:57:38.109Z [ODDS]  AO Thrakomakedonon: 4/5 → 20/23, AO Kronos Geraka: 20/23 → 4/5
2026-02-26T20:58:43.057Z [ODDS]  AO Thrakomakedonon: 20/23 → 20/29, AO Kronos Geraka: 4/5 → 21/20
2026-02-26T20:58:43.057Z [EVENT]  score: 55-54
2026-02-26T20:58:55.687Z [ODDS]  AO Thrakomakedonon: 20/29 → 20/27, AO Kronos Geraka: 21/20 → 20/21
2026-02-26T20:58:55.687Z [EVENT]  score: 55-57
2026-02-26T20:59:02.900Z [ODDS]  AO Thrakomakedonon: 20/27 → 20/23, AO Kronos Geraka: 20/21 → 4/5
2026-02-26T20:59:02.900Z [EVENT]  score: 57-57
2026-02-26T20:59:11.022Z [ODDS]  AO Thrakomakedonon: 20/23 → 20/29, AO Kronos Geraka: 4/5 → 21/20
2026-02-26T20:59:15.087Z [ODDS]  AO Thrakomakedonon: 20/29 → 20/23, AO Kronos Geraka: 21/20 → 4/5
2026-02-26T21:00:24.084Z [ODDS]  AO Thrakomakedonon: 20/23 → 4/5, AO Kronos Geraka: 4/5 → 20/23
2026-02-26T21:00:24.084Z [EVENT]  score: 57-60
2026-02-26T21:00:36.721Z [ODDS]  AO Thrakomakedonon: 4/5 → 5/6, AO Kronos Geraka: 20/23 → 5/6
2026-02-26T21:01:21.373Z [ODDS]  AO Thrakomakedonon: 5/6 → 4/5, AO Kronos Geraka: 5/6 → 20/23
2026-02-26T21:02:09.623Z [ODDS]  AO Thrakomakedonon: 4/5 → 20/27, AO Kronos Geraka: 20/23 → 20/21
2026-02-26T21:02:09.623Z [EVENT]  score: 59-60
2026-02-26T21:02:52.471Z [ODDS]  AO Thrakomakedonon: 20/27 → 20/23, AO Kronos Geraka: 20/21 → 4/5
