2026-02-26T21:35:33.767Z [ODDS]  CSCD Kassantina: 20/23 → 4/5, CRB Dar Beida: 4/5 → 20/23
2026-02-26T21:35:34.669Z [ODDS]  CSCD Kassantina: 4/5 → 5/6, CRB Dar Beida: 20/23 → 5/6
2026-02-26T21:35:50.458Z [ODDS]  CSCD Kassantina: 5/6 → 4/5, CRB Dar Beida: 5/6 → 20/23
2026-02-26T21:37:27.422Z [ODDS]  CSCD Kassantina: 4/5 → 5/6, CRB Dar Beida: 20/23 → 5/6
2026-02-26T21:37:44.183Z [ODDS]  CSCD Kassantina: 5/6 → 4/5, CRB Dar Beida: 5/6 → 20/23
2026-02-26T21:37:48.621Z [ODDS]  CSCD Kassantina: 4/5 → 20/23, CRB Dar Beida: 20/23 → 4/5
2026-02-26T21:37:48.622Z [EVENT]  score: 37-33
2026-02-26T21:38:13.285Z [ODDS]  CSCD Kassantina: 20/23 → 4/5, CRB Dar Beida: 4/5 → 20/23
2026-02-26T21:38:20.500Z [EVENT]  score: 40-33
2026-02-26T21:39:42.585Z [ODDS]  CSCD Kassantina: 4/5 → 20/23, CRB Dar Beida: 20/23 → 4/5
2026-02-26T21:39:42.585Z [EVENT]  score: 40-35
2026-02-26T21:39:46.190Z [ODDS]  CSCD Kassantina: 20/23 → 4/5, CRB Dar Beida: 4/5 → 20/23
2026-02-26T21:39:47.092Z [ODDS]  CSCD Kassantina: 4/5 → 20/23, CRB Dar Beida: 20/23 → 4/5
2026-02-26T21:40:05.589Z [ODDS]  CSCD Kassantina: 20/23 → 5/6, CRB Dar Beida: 4/5 → 5/6
2026-02-26T21:40:31.763Z [ODDS]  CSCD Kassantina: 5/6 → 4/5, CRB Dar Beida: 5/6 → 20/23
2026-02-26T21:40:48.888Z [ODDS]  CSCD Kassantina: 4/5 → 5/6, CRB Dar Beida: 20/23 → 5/6
2026-02-26T21:40:52.538Z [ODDS]  CSCD Kassantina: 5/6 → 20/23, CRB Dar Beida: 5/6 → 4/5
2026-02-26T21:41:17.316Z [ODDS]  CSCD Kassantina: 20/23 → 5/6, CRB Dar Beida: 4/5 → 5/6
2026-02-26T21:41:30.823Z [ODDS]  CSCD Kassantina: 5/6 → 20/23, CRB Dar Beida: 5/6 → 4/5
2026-02-26T21:41:58.784Z [ODDS]  CSCD Kassantina: 20/23 → 4/5, CRB Dar Beida: 4/5 → 20/23
2026-02-26T21:42:18.326Z [ODDS]  CSCD Kassantina: 4/5 → 5/6, CRB Dar Beida: 20/23 → 5/6
2026-02-26T21:42:31.297Z [ODDS]  CSCD Kassantina: 5/6 → 4/5, CRB Dar Beida: 5/6 → 20/23
2026-02-26T21:42:51.555Z [ODDS]  CSCD Kassantina: 4/5 → 5/6, CRB Dar Beida: 20/23 → 5/6
2026-02-26T21:42:52.937Z [ODDS]  CSCD Kassantina: 5/6 → 20/23, CRB Dar Beida: 5/6 → 4/5
2026-02-26T21:43:13.655Z [ODDS]  CSCD Kassantina: 20/23 → 5/6, CRB Dar Beida: 4/5 → 5/6
2026-02-26T21:43:13.656Z [EVENT]  score: 41-35
2026-02-26T21:43:25.386Z [EVENT]  score: 42-35
2026-02-26T21:44:32.579Z [ODDS]  CSCD Kassantina: 5/6 → 20/23, CRB Dar Beida: 5/6 → 4/5
2026-02-26T21:44:53.778Z [ODDS]  CSCD Kassantina: 20/23 → 5/6, CRB Dar Beida: 4/5 → 5/6
2026-02-26T21:45:31.208Z [ODDS]  CSCD Kassantina: 5/6 → 4/5, CRB Dar Beida: 5/6 → 20/23
2026-02-26T21:45:31.208Z [EVENT]  score: 42-36
2026-02-26T21:47:58.238Z [ODDS]  CSCD Kassantina: 4/5 → 20/23, CRB Dar Beida: 20/23 → 4/5
2026-02-26T21:48:26.201Z [ODDS]  CSCD Kassantina: 20/23 → 5/6, CRB Dar Beida: 4/5 → 5/6
2026-02-26T21:48:46.500Z [ODDS]  CSCD Kassantina: 5/6 → 4/5, CRB Dar Beida: 5/6 → 20/23
2026-02-26T21:52:02.229Z [ODDS]  CSCD Kassantina: 4/5 → 5/6, CRB Dar Beida: 20/23 → 5/6
2026-02-26T21:52:22.955Z [ODDS]  CSCD Kassantina: 5/6 → 20/23, CRB Dar Beida: 5/6 → 4/5
2026-02-26T21:54:23.977Z [ODDS]  CSCD Kassantina: 20/23 → 5/6, CRB Dar Beida: 4/5 → 5/6
2026-02-26T21:55:35.202Z [ODDS]  CSCD Kassantina: 5/6 → 20/21, CRB Dar Beida: 5/6 → 20/27
2026-02-26T21:56:07.223Z [ODDS]  CSCD Kassantina: 20/21 → 20/27, CRB Dar Beida: 20/27 → 20/21
2026-02-26T22:02:41.407Z [ODDS]  CSCD Kassantina: 20/27 → 4/5, CRB Dar Beida: 20/21 → 20/23, CSCD Kassantina: 4/5 → 20/27, CRB Dar Beida: 20/23 → 20/21
2026-02-26T22:02:41.407Z [ODDS]  CSCD Kassantina: 20/27 → 4/5, CRB Dar Beida: 20/21 → 20/23, CSCD Kassantina: 4/5 → 20/27, CRB Dar Beida: 20/23 → 20/21
2026-02-26T22:03:00.354Z [ODDS]  CSCD Kassantina: 20/27 → 5/6, CRB Dar Beida: 20/21 → 5/6
2026-02-26T22:03:00.354Z [EVENT]  score: 42-38
2026-02-26T22:03:23.807Z [ODDS]  CSCD Kassantina: 5/6 → 4/5, CRB Dar Beida: 5/6 → 20/23
2026-02-26T22:03:54.020Z [ODDS]  CSCD Kassantina: 4/5 → 5/6, CRB Dar Beida: 20/23 → 5/6
2026-02-26T22:04:12.514Z [ODDS]  CSCD Kassantina: 5/6 → 4/5, CRB Dar Beida: 5/6 → 20/23
2026-02-26T22:04:24.238Z [ODDS]  CSCD Kassantina: 4/5 → 20/23, CRB Dar Beida: 20/23 → 4/5
2026-02-26T22:04:24.238Z [EVENT]  score: 42-39
2026-02-26T22:04:49.947Z [ODDS]  CSCD Kassantina: 20/23 → 4/5, CRB Dar Beida: 4/5 → 20/23
2026-02-26T22:05:03.023Z [ODDS]  CSCD Kassantina: 4/5 → 20/23, CRB Dar Beida: 20/23 → 4/5
2026-02-26T22:05:03.474Z [ODDS]  CSCD Kassantina: 20/23 → 5/6, CRB Dar Beida: 4/5 → 5/6
2026-02-26T22:05:29.180Z [EVENT]  score: 42-41
2026-02-26T22:05:56.692Z [EVENT]  score: 42-42
2026-02-26T22:06:29.615Z [ODDS]  CSCD Kassantina: 5/6 → 20/23, CRB Dar Beida: 5/6 → 4/5
2026-02-26T22:06:41.791Z [ODDS]  CSCD Kassantina: 20/23 → 5/6, CRB Dar Beida: 4/5 → 5/6
2026-02-26T22:06:41.791Z [EVENT]  score: 44-42
2026-02-26T22:07:17.421Z [ODDS]  CSCD Kassantina: 5/6 → 4/5, CRB Dar Beida: 5/6 → 20/23
2026-02-26T22:07:26.896Z [ODDS]  CSCD Kassantina: 4/5 → 20/23, CRB Dar Beida: 20/23 → 4/5
2026-02-26T22:07:40.421Z [ODDS]  CSCD Kassantina: 20/23 → 4/5, CRB Dar Beida: 4/5 → 20/23
2026-02-26T22:07:40.421Z [EVENT]  score: 45-42
2026-02-26T22:07:51.310Z [ODDS]  CSCD Kassantina: 4/5 → 20/23, CRB Dar Beida: 20/23 → 4/5
2026-02-26T22:07:59.363Z [ODDS]  CSCD Kassantina: 20/23 → 4/5, CRB Dar Beida: 4/5 → 20/23
2026-02-26T22:08:42.738Z [ODDS]  CSCD Kassantina: 4/5 → 5/6, CRB Dar Beida: 20/23 → 5/6
2026-02-26T22:09:30.095Z [ODDS]  CSCD Kassantina: 5/6 → 20/23, CRB Dar Beida: 5/6 → 4/5
2026-02-26T22:10:03.470Z [ODDS]  CSCD Kassantina: 20/23 → 4/5, CRB Dar Beida: 4/5 → 20/23
2026-02-26T22:10:14.754Z [ODDS]  CSCD Kassantina: 4/5 → 20/23, CRB Dar Beida: 20/23 → 4/5
2026-02-26T22:10:37.752Z [ODDS]  CSCD Kassantina: 20/23 → 4/5, CRB Dar Beida: 4/5 → 20/23
2026-02-26T22:10:58.953Z [ODDS]  CSCD Kassantina: 4/5 → 20/23, CRB Dar Beida: 20/23 → 4/5
2026-02-26T22:11:16.535Z [ODDS]  CSCD Kassantina: 20/23 → 5/6, CRB Dar Beida: 4/5 → 5/6
2026-02-26T22:11:27.363Z [ODDS]  CSCD Kassantina: 5/6 → 4/5, CRB Dar Beida: 5/6 → 20/23
2026-02-26T22:11:27.363Z [EVENT]  score: 45-43
2026-02-26T22:11:43.144Z [ODDS]  CSCD Kassantina: 4/5 → 5/6, CRB Dar Beida: 20/23 → 5/6
2026-02-26T22:11:50.812Z [ODDS]  CSCD Kassantina: 5/6 → 4/5, CRB Dar Beida: 5/6 → 20/23
2026-02-26T22:11:59.379Z [ODDS]  CSCD Kassantina: 4/5 → 5/6, CRB Dar Beida: 20/23 → 5/6
2026-02-26T22:12:30.504Z [ODDS]  CSCD Kassantina: 5/6 → 20/23, CRB Dar Beida: 5/6 → 4/5
2026-02-26T22:12:31.402Z [ODDS]  CSCD Kassantina: 20/23 → 4/5, CRB Dar Beida: 4/5 → 20/23
