2026-02-27T03:22:51.846Z [ODDS]  St. Thomas (MN): 20/23 → 10/11, North Dakota State: 20/23 → 5/6
2026-02-27T03:23:13.494Z [ODDS]  St. Thomas (MN): 10/11 → 20/23, North Dakota State: 5/6 → 20/23
2026-02-27T03:23:13.494Z [EVENT]  score: 36-63
2026-02-27T03:23:48.734Z [ODDS]  St. Thomas (MN): 20/23 → 5/6, North Dakota State: 20/23 → 10/11
2026-02-27T03:23:55.438Z [EVENT]  score: 36-65
2026-02-27T03:24:47.302Z [ODDS]  St. Thomas (MN): 5/6 → 20/23, North Dakota State: 10/11 → 20/23
2026-02-27T03:25:16.164Z [EVENT]  score: 36-68
2026-02-27T03:25:37.816Z [EVENT]  score: 38-68
2026-02-27T03:25:56.763Z [ODDS]  St. Thomas (MN): 20/23 → 5/6, North Dakota State: 20/23 → 10/11
2026-02-27T03:26:06.229Z [EVENT]  score: 38-70
2026-02-27T03:26:25.259Z [EVENT]  score: 40-70
2026-02-27T03:26:25.622Z [ODDS]  St. Thomas (MN): 5/6 → 10/11, North Dakota State: 10/11 → 5/6
2026-02-27T03:26:34.642Z [ODDS]  St. Thomas (MN): 10/11 → 20/23, North Dakota State: 5/6 → 20/23
2026-02-27T03:29:25.709Z [EVENT]  score: 41-70
2026-02-27T03:29:26.159Z [ODDS]  St. Thomas (MN): 20/23 → 5/6, North Dakota State: 20/23 → 10/11
2026-02-27T03:30:42.378Z [EVENT]  score: 41-72
2026-02-27T03:30:46.438Z [ODDS]  St. Thomas (MN): 5/6 → 4/5, North Dakota State: 10/11 → 20/21
2026-02-27T03:30:59.968Z [ODDS]  St. Thomas (MN): 4/5 → 20/21, North Dakota State: 20/21 → 4/5
2026-02-27T03:31:14.400Z [ODDS]  St. Thomas (MN): 20/21 → 10/11, North Dakota State: 4/5 → 5/6
2026-02-27T03:32:00.406Z [EVENT]  score: 41-75
2026-02-27T03:32:26.113Z [EVENT]  score: 44-75
2026-02-27T03:33:25.647Z [ODDS]  St. Thomas (MN): 10/11 → 20/21, North Dakota State: 5/6 → 4/5
2026-02-27T03:33:28.802Z [ODDS]  St. Thomas (MN): 20/21 → 20/23, North Dakota State: 4/5 → 20/23
2026-02-27T03:34:01.727Z [ODDS]  St. Thomas (MN): 20/23 → 20/21, North Dakota State: 20/23 → 4/5
2026-02-27T03:34:01.727Z [EVENT]  score: 45-75
2026-02-27T03:34:12.099Z [ODDS]  St. Thomas (MN): 20/21 → 20/23, North Dakota State: 4/5 → 20/23
2026-02-27T03:34:12.099Z [EVENT]  score: 44-75
2026-02-27T03:34:15.256Z [ODDS]  St. Thomas (MN): 20/23 → 20/21, North Dakota State: 20/23 → 4/5
2026-02-27T03:34:15.256Z [EVENT]  score: 46-75
2026-02-27T03:34:25.629Z [ODDS]  St. Thomas (MN): 20/21 → 10/11, North Dakota State: 4/5 → 5/6
2026-02-27T03:34:47.278Z [EVENT]  score: 48-75
2026-02-27T03:35:06.275Z [EVENT]  score: 48-77
2026-02-27T03:35:13.436Z [EVENT]  score: 50-77
2026-02-27T03:35:31.475Z [ODDS]  St. Thomas (MN): 10/11 → 20/23, North Dakota State: 5/6 → 20/23
